2181.61
0, 0
1, 356
2, 85
3, 664
4, 944
5, 887
6, 214
7, 125
8, 104
9, 788
10, 741
11, 512
12, 439
13, 263
14, 339
15, 652
16, 821
17, 111
18, 531
19, 137
20, 435
21, 380
22, 105
23, 560
24, 479
25, 719
26, 712
27, 205
28, 242
29, 193
30, 95
31, 127
32, 570
33, 394
34, 625
35, 293
36, 199
37, 728
38, 897
39, 636
40, 682
41, 235
42, 375
43, 200
44, 901
45, 721
46, 952
47, 467
48, 649
49, 678
50, 524
51, 706
52, 734
53, 295
54, 2
55, 976
56, 555
57, 972
58, 708
59, 919
60, 958
61, 718
62, 241
63, 603
64, 175
65, 168
66, 600
67, 476
68, 802
69, 955
70, 643
71, 924
72, 59
73, 791
74, 266
75, 959
76, 657
77, 122
78, 561
79, 558
80, 681
81, 859
82, 355
83, 862
84, 962
85, 876
86, 188
87, 532
88, 17
89, 676
90, 814
91, 933
92, 112
93, 582
94, 86
95, 568
96, 538
97, 573
98, 917
99, 282
100, 73
101, 52
102, 257
103, 989
104, 758
105, 376
106, 984
107, 680
108, 820
109, 442
110, 668
111, 846
112, 56
113, 744
114, 851
115, 1
116, 33
117, 792
118, 407
119, 320
120, 315
121, 572
122, 882
123, 19
124, 374
125, 323
126, 508
127, 836
128, 434
129, 634
130, 81
131, 247
132, 253
133, 497
134, 870
135, 806
136, 437
137, 474
138, 288
139, 384
140, 141
141, 162
142, 745
143, 701
144, 557
145, 996
146, 799
147, 196
148, 884
149, 500
150, 207
151, 834
152, 487
153, 128
154, 462
155, 134
156, 995
157, 369
158, 536
159, 623
160, 254
161, 835
162, 421
163, 844
164, 829
165, 899
166, 460
167, 174
168, 279
169, 971
170, 145
171, 120
172, 912
173, 855
174, 786
175, 646
176, 139
177, 284
178, 97
179, 400
180, 61
181, 210
182, 300
183, 197
184, 590
185, 885
186, 620
187, 381
188, 948
189, 673
190, 860
191, 283
192, 450
193, 905
194, 722
195, 889
196, 953
197, 492
198, 403
199, 318
200, 747
201, 929
202, 74
203, 243
204, 215
205, 506
206, 271
207, 138
208, 711
209, 148
210, 219
211, 774
212, 447
213, 457
214, 920
215, 478
216, 923
217, 322
218, 743
219, 251
220, 298
221, 589
222, 451
223, 647
224, 805
225, 998
226, 670
227, 761
228, 574
229, 433
230, 770
231, 99
232, 780
233, 286
234, 225
235, 310
236, 367
237, 877
238, 180
239, 306
240, 942
241, 607
242, 764
243, 875
244, 123
245, 493
246, 872
247, 626
248, 966
249, 842
250, 904
251, 714
252, 161
253, 540
254, 895
255, 963
256, 31
257, 189
258, 156
259, 601
260, 891
261, 379
262, 914
263, 378
264, 738
265, 866
266, 960
267, 731
268, 787
269, 438
270, 970
271, 943
272, 533
273, 909
274, 441
275, 388
276, 20
277, 39
278, 264
279, 878
280, 765
281, 110
282, 937
283, 631
284, 977
285, 60
286, 781
287, 707
288, 813
289, 529
290, 594
291, 614
292, 25
293, 472
294, 751
295, 256
296, 159
297, 980
298, 12
299, 10
300, 93
301, 861
302, 662
303, 165
304, 296
305, 551
306, 289
307, 53
308, 562
309, 742
310, 275
311, 76
312, 873
313, 868
314, 773
315, 424
316, 47
317, 592
318, 935
319, 46
320, 585
321, 452
322, 327
323, 651
324, 274
325, 75
326, 667
327, 416
328, 426
329, 119
330, 361
331, 217
332, 102
333, 312
334, 239
335, 347
336, 387
337, 735
338, 843
339, 732
340, 702
341, 267
342, 149
343, 494
344, 244
345, 231
346, 674
347, 324
348, 88
349, 997
350, 541
351, 69
352, 610
353, 772
354, 285
355, 54
356, 672
357, 784
358, 92
359, 617
360, 608
361, 932
362, 926
363, 37
364, 66
365, 900
366, 151
367, 825
368, 171
369, 967
370, 181
371, 908
372, 566
373, 67
374, 297
375, 488
376, 16
377, 186
378, 737
379, 395
380, 700
381, 991
382, 544
383, 999
384, 195
385, 26
386, 372
387, 386
388, 42
389, 27
390, 11
391, 146
392, 164
393, 373
394, 549
395, 459
396, 789
397, 865
398, 236
399, 187
400, 556
401, 713
402, 782
403, 48
